noisy_state,conditional_mean,null_mean,linear_guidance,probability_guidance
-1.830000000000000071e+00,-9.960349033442341682e-01,-9.986765519148860237e-01,-9.927328426309194320e-01,-9.844358901058040123e-01
-1.824999999999999956e+00,-9.959549650826380329e-01,-9.986498345387343489e-01,-9.925863782625179432e-01,-9.841239700675483704e-01
-1.820000000000000062e+00,-9.958734185589130927e-01,-9.986225781718534034e-01,-9.924369690427377044e-01,-9.838058498588726497e-01
-1.814999999999999947e+00,-9.957902315524316261e-01,-9.985947719559166158e-01,-9.922845560480755278e-01,-9.834814083006554464e-01
-1.810000000000000053e+00,-9.957053712025693004e-01,-9.985664048144671234e-01,-9.921290791876971049e-01,-9.831505219289091713e-01
-1.804999999999999938e+00,-9.956188039962166059e-01,-9.985374654485614787e-01,-9.919704771807853483e-01,-9.828130649550913533e-01
-1.800000000000000044e+00,-9.955304957550592526e-01,-9.985079423323266479e-01,-9.918086875334748420e-01,-9.824689092258662715e-01
-1.794999999999999929e+00,-9.954404116226163168e-01,-9.984778237084296348e-01,-9.916436465153499746e-01,-9.821179241823153605e-01
-1.790000000000000036e+00,-9.953485160510396890e-01,-9.984470975834583983e-01,-9.914752891355160802e-01,-9.817599768185981679e-01
-1.784999999999999920e+00,-9.952547727876634998e-01,-9.984157517232096213e-01,-9.913035491182309311e-01,-9.813949316400580880e-01
-1.780000000000000027e+00,-9.951591448613047453e-01,-9.983837736478876623e-01,-9.911283588780761544e-01,-9.810226506207759822e-01
-1.774999999999999911e+00,-9.950615945683087826e-01,-9.983511506272033653e-01,-9.909496494946905543e-01,-9.806429931605709083e-01
-1.770000000000000018e+00,-9.949620834583344786e-01,-9.983178696753822745e-01,-9.907673506870244839e-01,-9.802558160414484023e-01
-1.764999999999999902e+00,-9.948605723198757911e-01,-9.982839175460701542e-01,-9.905813907871328095e-01,-9.798609733834946489e-01
-1.760000000000000009e+00,-9.947570211655172301e-01,-9.982492807271413637e-01,-9.903916967134871463e-01,-9.794583166002225338e-01
-1.754999999999999893e+00,-9.946513892169143167e-01,-9.982139454354036490e-01,-9.901981939438027069e-01,-9.790476943533662491e-01
-1.750000000000000000e+00,-9.945436348894980405e-01,-9.981778976111987944e-01,-9.900008064873719871e-01,-9.786289525071301121e-01
-1.745000000000000107e+00,-9.944337157768984303e-01,-9.981411229128986928e-01,-9.897994568568981855e-01,-9.782019340818929320e-01
-1.739999999999999991e+00,-9.943215886350805777e-01,-9.981036067112925014e-01,-9.895940660398157007e-01,-9.777664792073698097e-01
-1.734999999999999876e+00,-9.942072093661918908e-01,-9.980653340838645526e-01,-9.893845534691010357e-01,-9.773224250752374775e-01
